Country,COC,COE,unempMen,unempWomen,anyMethod,modernMethods,fertRateAdolescent,fertRateTotal,govCorpt,hivTotal,hivWomenShare,perCapGDP,econEngMen,econEngWomen,totalEcon,lifeExpBirthMen,lifeExpBirthWomen,lifeExp60Men,lifeExp60Women,eduTotal,eduMen,eduWomen,youthLitMen,youthLitWomen,adultLitMen,adultLitWomen,mortMatern,mortInfant,mortUnder5,popChangeUrban,popChangeRural,popGrowthRate,popGrowthWomenRate,popSizeTotal,popSizeMen,popSizeWomen,primEduBoy,primEduGirl,primEduGirlShare,prtTimeMen,prtTimeWomen,prtTimeWomenShare,secEduBoy,secEduGirl,secEduGirlShare,tertEduMen,tertEduWomen,tertEduWomenShare,waterUrban,waterRural,sanitUrban,sanitRural
SAUDI ARABIA,NULL,257,3.5,15.9,24,..,22.1,2.64,49,NULL,NULL,21262,74,18,49.9,73,76,19,20,14,14,14,99,97,90,81,24,16,19,2.4,0.9,2.1,43,  28 705,  15 817,  12 888,90,89,49,NULL,NULL,NULL,78,83,46,35,39,52,97,63,100,…
SENEGAL,70,370,7.9,13.6,12,10,89.7,4.61,44.5,54,59,1132,88,66,77,59,61,13,14,8,8,8,74,56,62,39,370,50,85,3.3,2.1,2.6,105,  13 108,  6 501,  6 607,73,78,51,NULL,NULL,NULL,24,19,49,10,6,37,93,56,70,39
SIERRA LEONE,65,65,4.5,2.3,8,6,104.2,4.73,29.5,46,61,483,69,66,67.7,48,49,11,11,7,9,6,69,50,54,31,890,103,157,3,1.5,2.1,84,  6 126,  2 996,  3 130,…,…,49,NULL,NULL,NULL,…,…,48,3,1,29,87,35,23,6
SINGAPORE,NULL,37,2.6,3.2,62,55,6.7,1.37,84.5,3.3,30,50087,77,57,66.5,79,84,22,25,NULL,NULL,NULL,100,100,98,94,3,2,2,1.1,0,1.1,128,  5 256,  2 649,  2 607,…,…,48,NULL,NULL,NULL,…,…,49,…,…,50,100,100,100,…
SOUTH AFRICA,NULL,36,22.3,27.7,60,60,50.4,2.38,44.5,5300,62,8090,61,44,52.3,53,54,14,18,NULL,NULL,NULL,97,98,91,87,300,46,64,1.2,-0.7,0.5,74,  50 738,  25 154,  25 584,85,85,49,5,11.2,63.2,59,65,49,NULL,NULL,NULL,99,79,86,67
SRI LANKA,85,NULL,3.5,7.7,68,53,22.1,2.24,36.5,2.8,…,2812,76,35,55,72,78,19,22,NULL,NULL,NULL,98,99,93,90,35,11,13,1.4,0.7,0.8,99,  21 224,  10 464,  10 760,94,94,49,NULL,NULL,NULL,…,…,46,11,20,65,99,90,88,93
SYRIAN ARAB REPUBLIC,NULL,41,5.7,22.5,58,43,36.5,2.77,NULL,NULL,NULL,3095,72,13,42.5,74,78,19,21,NULL,NULL,NULL,96,94,90,77,70,14,16,2.4,0.8,1.7,96,  21 118,  10 682,  10 436,94,92,48,6.6,13.3,27.4,67,67,46,NULL,NULL,NULL,93,86,96,93
TAJIKISTAN,77,88,NULL,NULL,37,32,25.7,3.16,25.5,8.9,30,935,75,57,65.9,65,71,16,21,12,12,11,100,100,100,100,65,51,65,1.7,1.4,1.5,133,  7 079,  3 476,  3 603,99,95,48,NULL,NULL,NULL,90,80,51,28,11,29,92,54,95,94
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",NULL,194,31.8,30.8,14,10,NULL,NULL,NULL,NULL,NULL,4925,69,43,55.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,99,99,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.7,7.1,44.9,NULL,NULL,NULL,36,42,53,NULL,NULL,NULL,NULL
THAILAND,144,442,0.7,0.6,81,80,37,1.53,36.5,520,40,5318,80,64,71.7,71,78,19,22,12,12,13,98,98,96,92,48,11,13,1.6,-0.1,0.5,94,  69 892,  34 331,  35 562,90,89,48,6.5,7.5,48.6,70,78,48,41,54,56,97,95,95,96
